player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Jaylen Adams,adamsja01,2020,PO,POR,43,21,2.023140327901506,4.198004730610885,6.22114505851239,21.09359108112658,19.35388343672685,40.44747451785342,6.207690337355082,7.656297990858952,13.86398832821403,.1802888157913796,0,.1802888157913796,3.989697733865038,3.511923036946708,7.501620770811746,-1.784967197741508
Steven Adams,adamsst01,2020,PO,OKC,442,210,-.9363903236365451,3.198049303993883,2.261658980357338,-8.445075499838502,-5.085708799517315,-13.53078429935582,-2.446396766971622,1.635347906366739,-.8110488606048829,.2129516897754276,0,.2129516897754276,-4.509713456694456,-.8834822654470202,-5.393195722141476,-.6055973513126461
Steven Adams,adamsst01,2020,RS,OKC,3522,1680,.5480654848119948,1.742187244432653,2.290252729244648,.9590720869060805,.9166937824282178,1.875765869334298,.6624433793677779,1.660176426049981,2.322619805417759,4.329822987094007,4.329822987094007,0,.0498305182472361,1.948629741263876,1.998460259511112,-.4250981477057437
Bam Adebayo,adebaba01,2020,PO,MIA,1383,687,.4549765978813474,2.340910359174615,2.795886957055962,5.835478816185081,2.599761545828712,8.435240362013793,1.533003558496326,2.50512223269153,4.038125791187857,2.444720743240842,0,2.444720743240842,4.630277474543622,1.886190852485255,6.516468327028877,-.3717000416508396
Bam Adebayo,adebaba01,2020,RS,MIA,4953,2417,-1.339696292532853,2.337503728929557,.9978074363967049,2.933023492040407,.8660269120421225,3.799050404082529,-.5610261253150044,2.148896489715344,1.58787036440034,5.311195443618887,5.311195443618887,0,-.3684625241573014,1.367082133161501,.9986196090041997,-.7265501691764219
LaMarcus Aldridge,aldrila01,2020,RS,SAS,3648,1754,-.5268695650820469,1.080966555012578,.5540969899305311,-.8248191572050655,-.8843753405256896,-1.709194497730755,-.6604398159804399,.7770190029922084,.1165791870117685,2.530917367526758,2.530917367526758,0,-.7116681977640549,1.229884515049427,.518216317285372,-1.36752970319752
Kyle Alexander,alexaky01,2020,RS,MIA,31,13,-3.662028894153672,-5.554259635818772,-9.216288529972445,-14.11404979055152,5.148879247518162,-8.965170543033356,-6.054527032025943,-3.622453070784711,-9.676980102810655,-.0470248750118706,-.0470248750118706,0,-2.723091938713833,-4.931522457682945,-7.654614396396777,2.402347562999632
Nickeil Alexander-Walker,alexani01,2020,RS,NOP,1288,591,-2.246172007002472,-1.164807593957862,-3.410979600960334,1.898342161033104,-3.573249715587886,-1.674907554554782,-1.520427681996069,-1.706766118176907,-3.227193800172976,-.144990432805792,-.144990432805792,0,-.3091340247382853,-1.914683857122456,-2.223817881860741,.7827332446824264
Grayson Allen,allengr01,2020,RS,MEM,1578,718,.3221450234353764,-1.10832307216888,-.7861780487335039,-1.224889604696974,-2.375006757859851,-3.599896362556825,.0449545287427633,-1.442154646962514,-1.397200118219751,.4977979587111923,.4977979587111923,0,-.0142905092866523,-2.121794595011119,-2.136085104297772,.460582015998538
Jarrett Allen,allenja01,2020,PO,BRK,279,132,-.8806411272789234,7.484817864276404,6.604176736997481,5.783508537906638,2.175924907908435,7.959433445815073,.3769186457551419,7.030962759688692,7.407881405443834,.6875821310575677,0,.6875821310575677,3.529881499386289,3.527301632705042,7.057183132091331,-2.529617965534827
